id,dist,mag,absmag,spect,x,y,z
318659,622.7189,8.51,-0.461,K1 III,208.183,462.521,-361.266
318684,142.851,5.81,0.036,K5 III,53.1723,118.1682,-60.1275
318698,672.8803,8.52,-0.62,K3 III,255.768,568.464,-253.376
318731,260.0935,6.38,-0.696,K1 III,86.811,193.003,-151.203
318792,364.2556,8.33,0.523,B9,120.763,268.663,214.286
318849,87.4891,8.2,3.49,F7 V,28.881,64.291,-51.835
318862,193.3002,7.6,1.169,K3 III,78.897,175.658,-16.866
318887,86.5522,6.64,1.954,A2,34.755,77.407,17.075
318906,770.1337,9.07,-0.363,K1 III,315.389,702.559,6.852
318907,221.3186,7.13,0.405,A3 V,76.738,170.943,-117.778
318916,96.7361,9.11,4.182,G0,19.3128,43.0291,84.4594
318931,381.8181,7.18,-0.729,G8 III/IV,154.909,345.207,-51.188
318932,123.8912,8.36,2.895,F6 V,50.715,113.016,-2.095
318941,40.1392,7.82,4.802,G3 V,14.844,33.083,-17.214
318972,1017.1825,8.81,-1.227,K3 III,313,697.791,-670.655
318983,50.0827,8.84,5.342,G5,19.085,42.552,18.257
318991,329.4811,10.88,3.291,F0,132.432,295.286,61.853
318994,46.2992,9.39,6.062,K2,17.841,39.783,15.576
319031,847.7925,9.68,0.039,K 3 III,303.191,676.308,411.624
319036,48.0884,5.64,2.23,AM,18.834,42.013,13.881
319040,41.4345,10.47,7.383,K5V,16.311,36.388,11.256
319043,127.5577,9.27,3.741,G0 V,52.101,116.23,6.862
319047,238.5902,8.73,1.842,K1 V,61.379,136.937,-185.489
319113,69.7669,8.59,4.372,G3/5 V,25.262,56.395,-32.385
319140,149.2041,9,3.131,F3/5 V,60.961,136.12,-4.129
319148,54.4448,7.18,3.5,F 5 V,20.263,45.25,22.496
319183,46.5635,9.11,5.77,G5,18.404,41.114,11.793
319184,172.0538,6,-0.178,B9V,65.635,146.625,61.608
319188,169.3817,9.45,3.306,F8,48.864,109.169,119.936
319220,727.5538,7.76,-1.549,A5,149.772,334.735,628.375
319228,294.4553,9.53,2.185,G8 III,93.633,209.279,-184.768
319234,344.7417,7.16,-0.527,G5,114.039,254.897,202.162
319248,177.305,6.25,0.006,B 9 V,53.441,119.465,119.621
319256,203.6556,8.98,2.436,G8 IV,79.288,177.253,-61.403
319258,913.1242,8.62,-1.183,K3 III,283.959,634.813,-591.757
319260,136.3497,8.07,2.397,F7 V,52.225,116.754,-47.246
319280,331.2126,8.52,0.919,G5,133.883,299.368,46.429
319295,244.3673,8.15,1.21,F0 V,99.4964,222.5029,-17.561
319333,316.4766,10,2.498,G2/3 V,76.182,170.435,-255.55
319349,293.3239,8.1,0.763,A1 V,112.8459,252.474,-97.7838
319360,474.8816,7.92,-0.463,M6 III,171.357,383.403,-221.701
319367,64.4346,5.17,1.124,A1 V,26.234,58.702,-4.209
319387,174.3332,7.55,1.343,G5,69.06,154.552,41.669
319411,60.2593,9.16,5.26,G8 V,21.545,48.229,-29
319417,180.7501,8.51,2.225,A8 III,57.1794,128.0004,-114.0917
319421,301.4477,8.67,1.274,A0,120.47,269.695,60.186
319436,84.4088,8.31,3.678,G0V,30.3404,67.9312,39.8696
319441,399.4313,7.03,-0.977,M1,149.974,335.806,155.844
